Text,Category
we're looking for someone with a more aesthetically pleasing face for this role,Appearance Discrimination
we're looking for someone with a more appealing body type for this position,Appearance Discrimination
we're looking for someone with a more attractive appearance for this role,Appearance Discrimination
we're looking for someone with a more attractive body shape for this role,Appearance Discrimination
we're looking for someone with a more attractive facial structure for this role,Appearance Discrimination
we're looking for someone with a more fashionable and trendy appearance,Appearance Discrimination
we're looking for someone with a more photogenic face for this role,Appearance Discrimination
", we can't consider you for this position because we need someone with a more striking appearance",Appearance Discrimination
", we can't consider you for this role because we need someone with a more captivating appearance",Appearance Discrimination
can't hire you because you don't meet our expectations in terms of physical attractiveness,Appearance Discrimination
We believe that customers will be more attracted to someone who looks more physically appealing,Appearance Discrimination
We believe that customers will be more drawn to someone who looks more attractive,Appearance Discrimination
 We believe that customers will be more inclined to purchase our products if they are promoted by someone who looks more attractive,Appearance Discrimination
 We believe that customers will be more likely to buy our products if they are promoted by someone who looks more attractive,Appearance Discrimination
 We believe that customers will be more likely to engage with our company if they see someone who looks more attractive,Appearance Discrimination
 We can't hire you because your appearance doesn't align with the image we want to project to our customers,Appearance Discrimination
 We can't hire you because your appearance doesn't match the image we want to portray to our customers,Appearance Discrimination
 We can't hire you because your physical appearance might not appeal to our target demographic,Appearance Discrimination
 We can't hire you because your physical appearance might not appeal to our target market,Appearance Discrimination
 We need someone who can enhance our brand image and your appearance doesn't contrie to that,Appearance Discrimination
 We need someone who can present themselves in a visually appealing manner and you don't fit that description,Appearance Discrimination
 We need someone who can present themselves in a visually pleasing manner and you don't meet that criteria,Appearance Discrimination
 We need someone who embodies our brand values and your appearance doesn't convey that,Appearance Discrimination
 We prefer to have people who are physically appealing to work at our front desk,Appearance Discrimination
 We prefer to hire individuals who possess a certain level of physical attractiveness that aligns with our brand,Appearance Discrimination
 We prefer to hire people who have a certain level of physical attractiveness that aligns with our brand,Appearance Discrimination
 We prefer to hire people who have a certain 'look' that appeals to our customers,Appearance Discrimination
 We want someone who can attract attention and make a memorable impression and you don't quite possess that appeal,Appearance Discrimination
 We want someone who can attract positive attention and u your appearance doesn't accomplish that,Appearance Discrimination
 We want someone who can be a visual representation of our brand and u your appearance doesn't meet our standards,Appearance Discrimination
 We want someone who can be the 'face' of our brand and u your appearance doesn't fit the bill,Appearance Discrimination
 We want to project a certain image so we can't have someone who doesn't fit our beauty standards,Appearance Discrimination
 We're looking for someone more attractive to be the face of our company,Appearance Discrimination
 We're looking for someone with a more aesthetically pleasing physique for our company,Appearance Discrimination
 We're looking for someone with a more polished and presentable appearance,Appearance Discrimination
 We're looking for someone with a more visually appealing presence to represent our company,Appearance Discrimination
 We're searching for someone who can attract attention and make a strong first impression and you don't quite have that appeal,Appearance Discrimination
 We're searching for someone who has a more attractive physical presence to work in our customer-oriented roles,Appearance Discrimination
 We're searching for someone who has a more pleasing physical appearance to work in our public-facing positions,Appearance Discrimination
 We're seeking individuals who have a certain level of physical attractiveness and u you don't meet that requirement,Appearance Discrimination
 We're seeking individuals who possess a certain level of physical attractiveness and u you don't meet that expectation,Appearance Discrimination
 We're seeking individuals with a certain level of attractiveness and u you don't meet that criteria,Appearance Discrimination
 You don't have the right physical attries to thrive in this industry,Appearance Discrimination
